"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72502014734","2018-01-01","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  12.0","24","  -4.4","24","1028.0","24","027.1","24"," 10.0","24"," 12.0","24"," 15.9"," 24.1","  19.9"," ","   6.1"," "," 0.00","G","  1.2","000000"
"72502014734","2018-01-02","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  17.9","24","   1.9","24","1028.7","24","027.8","24"," 10.0","24"," 11.9","24"," 17.1"," 21.0","  27.0"," ","   6.1"," "," 0.00","G","999.9","000000"
"72502014734","2018-01-03","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  19.7","24","   2.8","24","1026.2","24","025.3","24"," 10.0","24","  6.2","24"," 14.0","999.9","  30.0"," ","  10.0"," "," 0.00","G","999.9","000000"
"72502014734","2018-01-04","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  25.4","24","  14.1","24","1006.9","18","003.6","24","  5.5","24"," 16.2","24"," 27.0"," 36.9","  30.0"," ","  10.0"," "," 0.03","G","  7.9","101000"
"72502014734","2018-01-05","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  15.5","24","  -0.2","24","1006.2","24","005.3","24","  9.7","24"," 19.6","24"," 25.1"," 35.9","  28.9"," ","   9.0"," "," 0.68","G","  7.1","000000"
"72502014734","2018-01-06","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  11.0","24","  -8.4","24","1021.4","24","020.5","24"," 10.0","24"," 16.1","24"," 22.0"," 31.1","  18.0"," ","   7.0"," "," 0.00","G","  5.9","000000"
"72502014734","2018-01-07","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","   9.6","24","  -7.2","24","1033.1","24","032.2","24"," 10.0","24","  9.3","24"," 15.9"," 22.0","  18.0"," ","   3.9"," "," 0.00","G","  5.9","000000"
"72502014734","2018-01-08","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  21.3","24","   7.9","24","1025.1","24","024.1","24","  9.9","24"," 10.3","24"," 14.0"," 19.0","  30.0"," ","   3.9"," "," 0.00","G","  5.9","011000"
"72502014734","2018-01-09","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  33.4","24","  22.3","24","1019.8","24","018.9","24","  9.8","24","  9.9","24"," 15.9"," 22.9","  44.1"," ","  16.0"," "," 0.00","G","  3.9","000000"
"72502014734","2018-01-10","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  33.4","24","  21.3","24","1030.3","24","029.4","24"," 10.0","24","  4.5","24"," 11.1","999.9","  44.1"," ","  23.0"," "," 0.00","G","  2.0","000000"
"72502014734","2018-01-11","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  41.5","24","  34.2","24","1028.4","22","027.7","24","  9.7","24","  1.8","24","  5.1","999.9","  51.1"," ","  24.1"," "," 0.00","G","  1.2","000000"
"72502014734","2018-01-12","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  53.0","24","  51.2","24","1015.7","15","014.9","24","  4.9","24","  5.9","24"," 15.0"," 25.1","  64.4","*","  39.9","*"," 0.00","G","  1.2","010000"
"72502014734","2018-01-13","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  45.0","24","  37.1","24","1009.3","18","005.0","24","  6.6","24"," 12.7","24"," 24.1"," 35.9","  64.0"," ","  24.1"," "," 0.61","G","999.9","110000"
"72502014734","2018-01-14","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  20.1","24","   0.7","24","1033.2","24","032.3","24"," 10.0","24"," 13.0","24"," 19.0"," 25.1","  26.1","*","  15.1","*"," 0.06","G","999.9","000000"
"72502014734","2018-01-15","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  21.5","24","   6.9","24","1037.2","24","036.4","24"," 10.0","24"," 11.3","24"," 18.1","999.9","  32.0"," ","  15.1"," "," 0.00","G","999.9","000000"
"72502014734","2018-01-16","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  29.1","24","  21.8","24","1032.2","23","031.3","24","  9.9","24","  4.5","24","  7.0","999.9","  37.9"," ","  15.1"," "," 0.00","G","999.9","000000"
"72502014734","2018-01-17","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  33.4","24","  28.8","24","1025.5","19","024.3","24","  7.0","24","  7.9","24"," 14.0"," 19.0","  37.9"," ","  21.9"," "," 0.07","G","  1.2","011000"
"72502014734","2018-01-18","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  24.8","24","   9.1","24","1018.6","24","017.6","24"," 10.0","24"," 10.7","24"," 15.0"," 22.0","  36.0"," ","  17.1"," "," 0.16","G","999.9","000000"
"72502014734","2018-01-19","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  29.3","24","  13.4","24","1017.5","24","016.6","24"," 10.0","24","  7.6","24"," 13.0"," 19.0","  39.0"," ","  17.1"," "," 0.00","G","999.9","000000"
"72502014734","2018-01-20","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  40.3","24","  21.5","24","1013.0","24","012.0","24"," 10.0","24"," 10.8","24"," 21.0"," 28.9","  55.0"," ","  19.9"," "," 0.00","G","999.9","000000"
"72502014734","2018-01-21","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  43.5","24","  28.8","24","1019.3","24","018.4","24"," 10.0","24","  5.3","24","  9.9","999.9","  55.0"," ","  32.0"," "," 0.00","G","999.9","000000"
"72502014734","2018-01-22","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  46.0","24","  37.8","24","1021.1","24","020.1","24","  8.3","24","  3.6","24","  9.9","999.9","  55.0"," ","  34.0"," "," 0.01","G","999.9","010000"
"72502014734","2018-01-23","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  47.9","24","  43.6","24","1008.7","13","008.7","24","  4.9","24","  7.5","24"," 18.1"," 27.0","  62.1"," ","  39.0"," "," 0.06","G","999.9","110000"
"72502014734","2018-01-24","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  42.3","24","  25.3","24","1011.0","24","010.1","24"," 10.0","24"," 13.6","24"," 20.0"," 28.0","  62.1"," ","  33.1"," "," 0.19","G","999.9","000000"
"72502014734","2018-01-25","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  29.3","24","   7.1","24","1025.6","24","024.6","24"," 10.0","24"," 13.3","24"," 18.1"," 26.0","  44.1"," ","  23.0"," "," 0.00","G","999.9","000000"
"72502014734","2018-01-26","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  30.6","24","   4.4","24","1037.2","24","036.3","24"," 10.0","24","  4.7","24","  9.9","999.9","  39.9"," ","  19.9"," "," 0.00","G","999.9","000000"
"72502014734","2018-01-27","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  39.5","24","  26.9","24","1032.6","24","031.6","24"," 10.0","24","  7.5","24"," 19.0"," 25.1","  57.0"," ","  19.9"," "," 0.00","G","999.9","000000"
"72502014734","2018-01-28","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  51.3","24","  43.6","24","1024.0","24","023.0","24","  9.7","24","  6.6","24"," 14.0","999.9","  55.0","*","  48.9","*"," 0.11","G","999.9","010000"
"72502014734","2018-01-29","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  42.5","24","  29.5","24","1022.4","24","021.5","24"," 10.0","24","  9.3","24"," 15.0"," 20.0","  54.0"," ","  37.9"," "," 0.09","G","999.9","000000"
"72502014734","2018-01-30","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  34.2","24","  26.8","24","1016.0","16","014.6","24","  6.2","24","  9.3","24"," 22.0"," 29.9","  45.0"," ","  28.9"," "," 0.04","G","  1.2","001000"
"72502014734","2018-01-31","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  25.3","24","   6.1","24","1022.8","24","021.8","24"," 10.0","24"," 10.8","24"," 20.0"," 25.1","  37.0"," ","  17.1"," "," 0.01","G","  1.2","000000"
"72502014734","2018-02-01","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  35.9","24","  21.0","24","1015.8","24","014.8","24"," 10.0","24","  7.6","24"," 13.0"," 20.0","  45.0"," ","  17.1"," "," 0.00","G","999.9","010000"
"72502014734","2018-02-02","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  33.5","24","  19.3","24","1015.3","22","013.4","24","  9.6","24"," 12.7","24"," 27.0"," 35.9","  45.0"," ","  21.0"," "," 0.16","G","999.9","011000"
"72502014734","2018-02-03","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  21.7","24","   2.2","24","1028.8","24","027.9","24"," 10.0","24"," 11.3","24"," 20.0"," 27.0","  41.0"," ","  14.0"," "," 0.14","G","999.9","000000"
"72502014734","2018-02-04","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  33.1","24","  18.9","24","1023.1","23","022.3","24","  9.0","24","  7.2","24"," 14.0","999.9","  41.0"," ","  14.0"," "," 0.00","G","999.9","011000"
"72502014734","2018-02-05","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  35.7","24","  25.8","24","1011.3","24","010.3","24","  8.3","24"," 10.7","24"," 22.0"," 29.9","  41.0","*","  28.4","*"," 0.81","G","999.9","010000"
"72502014734","2018-02-06","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  30.0","24","  13.9","24","1026.9","24","025.9","24"," 10.0","24","  4.2","24"," 11.1","999.9","  41.0"," ","  24.1"," "," 0.00","G","999.9","000000"
"72502014734","2018-02-07","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  32.5","24","  25.3","24","1026.9","20","025.5","24","  6.2","24","  6.0","24"," 17.1"," 21.0","  45.0"," ","  24.1"," "," 0.00","G","  1.2","011000"
"72502014734","2018-02-08","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  32.4","24","  18.5","24","1024.0","23","022.3","24"," 10.0","24"," 12.2","24"," 21.0"," 28.9","  45.0"," ","  24.1"," "," 0.94","G","999.9","010000"
"72502014734","2018-02-09","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  28.7","24","  14.8","24","1032.7","24","031.8","24"," 10.0","24","  6.0","24"," 12.0","999.9","  35.1"," ","  21.9"," "," 0.00","G","999.9","001000"
"72502014734","2018-02-10","40.6825","-74.1694","2.1","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","  40.0","24","  34.1","24","1026.4","16","025.0","24","  7.4","24","  1.4","24","  7.0","999.9","  46.9"," ","  21.9"," "," 0.00","G","999.9","010000"
