"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72244012918","2018-01-01","29.63806","-95.28194","13.4","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","  37.4","24","  22.3","24","1035.7","23","033.6","23"," 10.0","24"," 15.2","24"," 21.0"," 25.1","  46.9"," ","  30.9"," "," 0.01","G","999.9","000000"
"72244012918","2018-01-02","29.63806","-95.28194","13.4","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","  31.3","24","  12.4","24","1035.6","23","033.3","23"," 10.0","24","  9.5","24"," 15.0","999.9","  37.0"," ","  28.9"," "," 0.00","G","999.9","001000"
"72244012918","2018-01-03","29.63806","-95.28194","13.4","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","  33.3","24","  14.7","24","1031.4","24","029.1","23"," 10.0","24","  9.7","24"," 14.0","999.9","  46.0"," ","  25.0"," "," 0.00","G","999.9","011000"
"72244012918","2018-01-04","29.63806","-95.28194","13.4","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","  38.7","24","  22.1","24","1028.4","24","026.2","23"," 10.0","24","  2.7","24","  8.0","999.9","  54.0"," ","  27.0"," "," 0.00","G","999.9","000000"
"72244012918","2018-01-05","29.63806","-95.28194","13.4","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","  46.5","24","  33.3","24","1028.8","24","026.7","23"," 10.0","24","  3.2","24","  8.0","999.9","  55.0"," ","  41.0"," "," 0.00","G","999.9","000000"
"72244012918","2018-01-06","29.63806","-95.28194","13.4","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","  47.6","24","  41.7","24","1028.0","24","025.9","23"," 10.0","24","  5.6","24","  9.9","999.9","  63.0"," ","  37.0"," "," 0.00","G","999.9","000000"
"72244012918","2018-01-07","29.63806","-95.28194","13.4","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","  56.2","24","  53.6","24","1021.1","23","018.8","23","  9.5","24","  6.1","24","  8.9","999.9","  70.0"," ","  48.0"," "," 0.00","G","999.9","000000"
"72244012918","2018-01-08","29.63806","-95.28194","13.4","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","  61.3","24","  54.2","24","1015.7","20","013.3","24","  9.4","24"," 10.7","24"," 19.0"," 27.0","  66.0"," ","  57.0"," "," 1.04","G","999.9","010010"
"72244012918","2018-01-09","29.63806","-95.28194","13.4","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","  50.8","24","  46.5","24","1020.4","23","018.3","23","  9.8","24","  5.7","24"," 12.0","999.9","  60.1"," ","  44.1"," "," 0.51","G","999.9","000000"
"72244012918","2018-01-10","29.63806","-95.28194","13.4","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","  55.9","24","  53.3","24","1016.5","18","014.1","23","  8.0","24","  4.9","24","  8.0","999.9","  72.0"," ","  51.1"," "," 0.00","G","999.9","000000"
