"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72403093738","2018-01-01","38.93486","-77.44728","88.4","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US","  14.5","24","   3.1","24","1031.6","24","019.2","24"," 10.0","24","  7.1","24"," 21.0"," 27.0","  23.0"," ","   6.1"," "," 0.00","G","999.9","000000"
"72403093738","2018-01-02","38.93486","-77.44728","88.4","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US","  14.8","24","  -1.2","24","1034.2","24","021.9","24"," 10.0","24","  8.7","24"," 17.1"," 26.0","  25.0"," ","   6.1"," "," 0.00","G","999.9","000000"
"72403093738","2018-01-03","38.93486","-77.44728","88.4","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US","  15.2","24","   3.9","24","1026.4","24","014.1","24","  9.9","24","  1.8","24","  7.0","999.9","  32.0"," ","   1.0"," "," 0.00","G","999.9","000000"
"72403093738","2018-01-04","38.93486","-77.44728","88.4","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US","  24.4","24","  10.7","24","1010.2","23","997.9","24","  8.6","24"," 15.7","24"," 27.0"," 38.1","  28.9","*","  18.0","*"," 0.02","G","999.9","001000"
"72403093738","2018-01-05","38.93486","-77.44728","88.4","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US","  14.4","24","  -4.7","24","1017.2","24","005.1","24"," 10.0","24"," 18.3","24"," 24.1"," 35.0","  28.0"," ","  10.0"," "," 0.00","A","999.9","000000"
"72403093738","2018-01-06","38.93486","-77.44728","88.4","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US","  12.8","24","  -6.6","24","1028.5","24","016.2","24"," 10.0","24"," 15.1","24"," 26.0"," 32.1","  19.0"," ","   8.1"," "," 0.00","G","999.9","000000"
"72403093738","2018-01-07","38.93486","-77.44728","88.4","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US","  12.3","24","  -4.2","24","1036.0","24","023.6","24"," 10.0","24","  5.7","24"," 11.1","999.9","  24.1"," ","  -0.9"," "," 0.00","G","999.9","000000"
"72403093738","2018-01-08","38.93486","-77.44728","88.4","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US","  23.2","24","   6.2","24","1025.6","24","013.4","24","  9.8","24","  6.3","24","  9.9","999.9","  33.1","*","  18.0","*"," 0.00","G","999.9","011000"
"72403093738","2018-01-09","38.93486","-77.44728","88.4","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US","  35.3","24","  30.8","24","1022.7","20","010.3","24","  7.5","24","  4.6","24"," 12.0","999.9","  50.0"," ","  17.1"," "," 0.05","G","999.9","110000"
"72403093738","2018-01-10","38.93486","-77.44728","88.4","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US","  31.9","24","  25.7","24","1029.9","24","017.8","24"," 10.0","24","  2.4","24","  8.0","999.9","  50.0"," ","  19.9"," "," 0.00","G","999.9","000000"
"72403093738","2018-01-11","38.93486","-77.44728","88.4","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US","  45.6","24","  37.2","24","1027.3","22","015.4","24"," 10.0","24","  2.7","24","  9.9","999.9","  61.0","*","  37.9","*"," 0.00","G","999.9","000000"
"72403093738","2018-01-12","38.93486","-77.44728","88.4","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US","  62.7","24","  60.8","24","1012.4","17","000.6","24","  8.5","24"," 10.1","24"," 15.0"," 24.1","  70.0","*","  57.9","*"," 0.13","G","999.9","010000"
"72403093738","2018-01-13","38.93486","-77.44728","88.4","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US","  42.2","24","  34.8","24","1015.5","16","997.7","24","  8.4","24"," 15.8","24"," 25.1"," 36.9","  70.0"," ","  24.1"," "," 0.91","G","999.9","111000"
"72403093738","2018-01-14","38.93486","-77.44728","88.4","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US","  19.8","24","   3.2","24","1035.5","24","023.2","24"," 10.0","24"," 12.1","24"," 18.1"," 24.1","  26.1","*","  14.0","*"," 0.55","G","999.9","000000"
"72403093738","2018-01-15","38.93486","-77.44728","88.4","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US","  19.5","24","   8.9","24","1036.0","24","023.7","24"," 10.0","24","  4.8","24","  8.9","999.9","  30.9"," ","  10.9"," "," 0.00","G","999.9","000000"
"72403093738","2018-01-16","38.93486","-77.44728","88.4","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US","  28.9","24","  23.3","24","1030.9","23","018.8","24","  9.6","24","  1.7","24","  7.0","999.9","  39.0"," ","  10.9"," "," 0.00","G","999.9","000000"
"72403093738","2018-01-17","38.93486","-77.44728","88.4","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US","  26.6","24","  17.6","24","1028.4","21","016.2","24","  8.5","24","  9.6","24"," 17.1"," 22.0","  39.0"," ","  21.0"," "," 0.02","G","999.9","001000"
