"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"74486094789","2018-01-01","40.6386","-73.7622","3.4","JFK INTERNATIONAL AIRPORT, NY US","  11.7","24","  -4.0","24","1027.8","24","027.1","24"," 10.0","24"," 16.1","24"," 21.0"," 28.0","  21.0"," ","   7.0"," "," 0.00","G","999.9","000000"
"74486094789","2018-01-02","40.6386","-73.7622","3.4","JFK INTERNATIONAL AIRPORT, NY US","  18.4","24","   3.1","24","1029.0","24","028.2","24"," 10.0","24"," 13.2","24"," 17.1"," 21.0","  26.1"," ","   7.0"," "," 0.00","G","999.9","000000"
"74486094789","2018-01-03","40.6386","-73.7622","3.4","JFK INTERNATIONAL AIRPORT, NY US","  21.0","24","   3.8","24","1026.7","24","026.0","24"," 10.0","24","  9.0","24"," 17.1","999.9","  28.0"," ","  12.0"," "," 0.00","G","999.9","000000"
"74486094789","2018-01-04","40.6386","-73.7622","3.4","JFK INTERNATIONAL AIRPORT, NY US","  24.8","24","  18.4","24","1005.5","17","002.9","24","  4.3","24"," 19.6","24"," 35.9"," 46.0","  28.9"," ","  12.0"," "," 0.04","G","  7.9","101000"
"74486094789","2018-01-05","40.6386","-73.7622","3.4","JFK INTERNATIONAL AIRPORT, NY US","  15.5","24","   1.9","24","1005.7","24","004.9","24","  9.9","24"," 23.2","24"," 29.9"," 40.0","  28.9"," ","   9.0"," "," 0.45","G","  7.9","000000"
"74486094789","2018-01-06","40.6386","-73.7622","3.4","JFK INTERNATIONAL AIRPORT, NY US","  11.2","24","  -7.5","24","1021.2","24","020.4","24","  9.9","24"," 19.8","24"," 25.1"," 34.0","  19.0"," ","   8.1"," "," 0.00","G","  7.9","000000"
"74486094789","2018-01-07","40.6386","-73.7622","3.4","JFK INTERNATIONAL AIRPORT, NY US","   9.4","24","  -5.2","24","1033.2","24","032.4","24"," 10.0","24"," 12.9","24"," 24.1"," 31.1","  17.1"," ","   3.9"," "," 0.00","G","  7.9","000000"
"74486094789","2018-01-08","40.6386","-73.7622","3.4","JFK INTERNATIONAL AIRPORT, NY US","  21.7","24","  10.6","24","1026.4","22","025.0","24"," 10.0","24"," 12.7","24"," 18.1","999.9","  30.9"," ","   3.9"," "," 0.00","G","  7.1","011000"
"74486094789","2018-01-09","40.6386","-73.7622","3.4","JFK INTERNATIONAL AIRPORT, NY US","  33.9","24","  24.1","24","1020.1","24","019.3","24"," 10.0","24"," 12.1","24"," 19.0","999.9","  43.0"," ","  17.1"," "," 0.02","G","  5.1","000000"
"74486094789","2018-01-10","40.6386","-73.7622","3.4","JFK INTERNATIONAL AIRPORT, NY US","  31.9","24","  21.7","24","1030.8","24","030.0","24"," 10.0","24","  5.3","24"," 12.0","999.9","  43.0"," ","  21.0"," "," 0.00","G","  3.9","000000"
"74486094789","2018-01-11","40.6386","-73.7622","3.4","JFK INTERNATIONAL AIRPORT, NY US","  41.1","24","  38.6","24","1029.0","24","028.4","24","  9.8","24","  2.8","24","  8.0","999.9","  48.0"," ","  21.0"," "," 0.00","G","  2.0","100000"
