"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72205012815","2018-01-01","28.4339","-81.325","27.4","ORLANDO INTERNATIONAL AIRPORT, FL US","  56.0","24","  51.7","24","1020.5","23","016.7","24","  8.4","24","  7.6","24"," 19.0"," 24.1","  69.1"," ","  44.1"," "," 0.00","G","999.9","010000"
"72205012815","2018-01-02","28.4339","-81.325","27.4","ORLANDO INTERNATIONAL AIRPORT, FL US","  47.7","24","  43.3","24","1023.8","22","020.1","24"," 10.0","24"," 17.5","24"," 21.0"," 28.9","  59.0"," ","  44.1"," "," 0.07","G","999.9","000000"
"72205012815","2018-01-03","28.4339","-81.325","27.4","ORLANDO INTERNATIONAL AIRPORT, FL US","  48.1","24","  45.6","24","1018.6","15","013.6","24","  7.7","24"," 11.8","24"," 26.0"," 36.9","  55.0"," ","  39.0"," "," 0.56","G","999.9","010000"
"72205012815","2018-01-04","28.4339","-81.325","27.4","ORLANDO INTERNATIONAL AIRPORT, FL US","  40.8","24","  27.0","24","1019.0","24","015.2","24"," 10.0","24"," 10.3","24"," 15.9"," 22.9","  53.1"," ","  30.9"," "," 0.59","G","999.9","000000"
"72205012815","2018-01-05","28.4339","-81.325","27.4","ORLANDO INTERNATIONAL AIRPORT, FL US","  42.5","24","  21.1","24","1025.1","24","021.4","24"," 10.0","24","  8.2","24"," 13.0"," 20.0","  55.0"," ","  30.9"," "," 0.00","G","999.9","000000"
"72205012815","2018-01-06","28.4339","-81.325","27.4","ORLANDO INTERNATIONAL AIRPORT, FL US","  45.9","24","  25.3","24","1029.1","24","025.3","24"," 10.0","24","  6.2","24"," 14.0"," 19.0","  57.9"," ","  30.9"," "," 0.00","G","999.9","000000"
"72205012815","2018-01-07","28.4339","-81.325","27.4","ORLANDO INTERNATIONAL AIRPORT, FL US","  50.1","24","  38.6","24","1029.3","24","025.6","24"," 10.0","24"," 11.1","24"," 15.0"," 21.0","  66.0"," ","  37.0"," "," 0.00","G","999.9","000000"
"72205012815","2018-01-08","28.4339","-81.325","27.4","ORLANDO INTERNATIONAL AIRPORT, FL US","  58.7","24","  52.3","24","1023.2","24","019.5","24"," 10.0","24","  6.2","24","  9.9","999.9","  72.0"," ","  41.0"," "," 0.00","G","999.9","000000"
"72205012815","2018-01-09","28.4339","-81.325","27.4","ORLANDO INTERNATIONAL AIRPORT, FL US","  65.1","24","  61.0","24","1018.4","21","014.7","24","  9.7","24","  6.4","24"," 13.0","999.9","  77.0"," ","  48.9"," "," 0.00","G","999.9","100000"
"72205012815","2018-01-10","28.4339","-81.325","27.4","ORLANDO INTERNATIONAL AIRPORT, FL US","  68.4","24","  66.2","24","1017.0","17","013.5","24","  8.2","24","  6.9","24"," 13.0","999.9","  77.0"," ","  55.9"," "," 0.02","G","999.9","010000"
"72205012815","2018-01-11","28.4339","-81.325","27.4","ORLANDO INTERNATIONAL AIRPORT, FL US","  69.7","24","  65.2","24","1015.9","17","012.6","24","  8.6","24","  6.0","24"," 12.0","999.9","  82.0"," ","  62.1"," "," 0.00","B","999.9","100000"
"72205012815","2018-01-12","28.4339","-81.325","27.4","ORLANDO INTERNATIONAL AIRPORT, FL US","  70.3","24","  67.6","24","1012.9","20","009.6","24","  7.7","24","  9.9","24"," 19.0"," 25.1","  82.0"," ","  62.1"," "," 0.00","G","999.9","010000"
"72205012815","2018-01-13","28.4339","-81.325","27.4","ORLANDO INTERNATIONAL AIRPORT, FL US","  60.3","24","  54.3","24","1017.6","17","013.6","24"," 10.0","24","  8.9","24"," 15.0"," 21.0","  81.0"," ","  51.1"," "," 0.05","G","999.9","010000"
"72205012815","2018-01-14","28.4339","-81.325","27.4","ORLANDO INTERNATIONAL AIRPORT, FL US","  48.9","24","  39.5","24","1026.7","23","022.9","24"," 10.0","24"," 10.3","24"," 15.0"," 17.1","  63.0"," ","  39.0"," "," 0.00","G","999.9","000000"
"72205012815","2018-01-15","28.4339","-81.325","27.4","ORLANDO INTERNATIONAL AIRPORT, FL US","  52.4","24","  42.8","24","1027.2","23","023.4","24"," 10.0","24"," 12.1","24"," 15.9"," 22.0","  66.0"," ","  39.0"," "," 0.00","G","999.9","000000"
"72205012815","2018-01-16","28.4339","-81.325","27.4","ORLANDO INTERNATIONAL AIRPORT, FL US","  55.0","24","  45.9","24","1027.4","24","023.6","24","  9.9","24","  8.6","24"," 14.0","999.9","  73.0"," ","  45.0"," "," 0.00","G","999.9","000000"
