"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72793024233","2018-01-01","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  35.7","24","  30.1","24","1027.5","24","010.6","24"," 10.0","24","  8.3","24"," 14.0","999.9","  44.1"," ","  30.9"," "," 0.00","G","999.9","100000"
"72793024233","2018-01-02","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  37.3","24","  30.7","24","1029.3","24","012.3","24"," 10.0","24","  8.2","24"," 13.0","999.9","  44.1"," ","  30.9"," "," 0.00","G","999.9","000000"
"72793024233","2018-01-03","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  39.4","24","  32.2","24","1023.5","24","006.8","24"," 10.0","24","  6.3","24","  9.9","999.9","  48.9"," ","  33.1"," "," 0.00","G","999.9","000000"
"72793024233","2018-01-04","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  40.7","24","  36.1","24","1017.3","24","000.8","24","  9.7","24","  4.5","24","  9.9","999.9","  48.9"," ","  33.1"," "," 0.00","G","999.9","010000"
"72793024233","2018-01-05","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  46.3","24","  42.9","24","1015.9","22","999.5","24","  8.7","24","  4.1","24"," 15.0","999.9","  50.0"," ","  35.1"," "," 0.20","G","999.9","110000"
"72793024233","2018-01-06","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  46.7","24","  43.4","24","1020.5","19","004.2","24","  7.3","24","  8.6","24"," 18.1"," 24.1","  51.1"," ","  44.1"," "," 0.48","G","999.9","010000"
"72793024233","2018-01-07","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  43.5","24","  40.3","24","1021.3","21","005.2","24","  9.7","24","  6.0","24"," 11.1","999.9","  51.1"," ","  41.0"," "," 0.13","G","999.9","010000"
"72793024233","2018-01-08","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  44.8","24","  43.1","24","1012.1","19","996.0","24","  7.8","24","  4.1","24","  7.0","999.9","  48.9"," ","  41.0"," "," 0.35","G","999.9","110000"
"72793024233","2018-01-09","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  45.4","24","  44.4","24","1004.6","14","987.5","24","  4.9","24","  4.1","24"," 11.1","999.9","  48.9"," ","  43.0"," "," 0.31","G","999.9","010000"
"72793024233","2018-01-10","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  43.4","24","  38.4","24","1012.3","17","995.7","24","  9.7","24"," 10.8","24"," 15.0"," 21.0","  50.0"," ","  41.0"," "," 0.01","G","999.9","010000"
"72793024233","2018-01-11","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  44.0","24","  41.3","24","1012.8","16","996.3","24","  6.4","24","  7.0","24"," 11.1","999.9","  50.0"," ","  41.0"," "," 0.21","G","999.9","010000"
"72793024233","2018-01-12","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  49.6","24","  46.8","24","1020.1","18","002.6","24","  7.9","24"," 11.2","24"," 18.1"," 27.0","  51.1"," ","  42.1"," "," 1.10","G","999.9","010000"
"72793024233","2018-01-13","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  50.0","24","  47.2","24","1029.6","17","013.0","24","  8.9","24","  5.0","24","  8.9","999.9","  57.9"," ","  46.9"," "," 0.08","G","999.9","010000"
"72793024233","2018-01-14","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  47.0","24","  43.9","24","1024.0","23","007.7","24","  8.8","24","  7.3","24"," 11.1","999.9","  57.9"," ","  39.9"," "," 0.01","G","999.9","000000"
"72793024233","2018-01-15","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  48.4","24","  41.2","24","1017.8","24","001.5","24","  9.2","24","  4.7","24"," 18.1"," 22.0","  64.0"," ","  39.9"," "," 0.00","G","999.9","100000"
"72793024233","2018-01-16","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  52.0","24","  42.7","24","1018.5","21","001.9","24","  9.2","24","  9.3","24"," 19.0"," 25.1","  64.0"," ","  41.0"," "," 0.18","G","999.9","010000"
"72793024233","2018-01-17","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  49.2","24","  39.4","24","1018.0","24","001.5","24","  9.9","24","  6.4","24","  9.9","999.9","  55.9"," ","  44.1"," "," 0.07","G","999.9","010000"
"72793024233","2018-01-18","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  47.8","24","  42.0","24","1009.4","16","993.0","24","  7.6","24"," 10.2","24"," 19.0"," 28.9","  55.9"," ","  42.1"," "," 0.63","G","999.9","010000"
"72793024233","2018-01-19","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  42.1","24","  36.7","24","1011.0","24","994.5","24","  9.9","24","  8.1","24"," 12.0"," 22.0","  53.1"," ","  37.9"," "," 0.20","G","999.9","010000"
"72793024233","2018-01-20","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  43.4","24","  37.6","24","1015.9","16","999.4","24"," 10.0","24"," 11.0","24"," 19.0"," 26.0","  46.9"," ","  37.9"," "," 0.06","G","999.9","010000"
"72793024233","2018-01-21","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  48.2","24","  36.9","24","1012.4","24","995.9","24","  9.7","24"," 16.0","24"," 25.1"," 35.9","  51.1"," ","  39.0"," "," 0.05","G","999.9","010000"
"72793024233","2018-01-22","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  42.9","24","  38.3","24","1020.4","20","003.4","24","  9.2","24"," 11.7","24"," 22.0"," 25.1","  51.1"," ","  39.0"," "," 0.22","G","999.9","010000"
"72793024233","2018-01-23","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  42.3","24","  36.1","24","1020.7","23","003.9","24","  8.7","24","  6.6","24","  9.9","999.9","  46.9"," ","  39.9"," "," 0.25","G","999.9","010000"
"72793024233","2018-01-24","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  46.1","24","  42.3","24","1006.6","23","990.2","24","  8.7","24","  8.2","24"," 15.9","999.9","  48.9"," ","  39.9"," "," 1.00","G","999.9","010000"
"72793024233","2018-01-25","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  41.2","24","  36.3","24","1005.0","19","988.9","24","  9.2","24","  8.1","24"," 15.0"," 31.1","  48.9"," ","  37.0"," "," 0.32","G","999.9","010000"
"72793024233","2018-01-26","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  40.1","24","  36.7","24","1017.8","12","999.5","24","  9.0","24"," 11.4","24"," 15.9"," 22.9","  44.1"," ","  37.0"," "," 0.18","G","999.9","010000"
"72793024233","2018-01-27","47.4444","-122.3138","112.8","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","  43.2","24","  39.6","24","1016.6","19","999.4","24","  7.8","24"," 12.1","24"," 22.0"," 32.1","  48.0"," ","  37.9"," "," 0.78","G","999.9","010000"
