,,DELAY_YES,DELAY_NO,TOTAL,DELAY_TO_NO_DELAY_RATIO,DELAY_PROB,DelayScore
ABE,1,73.0,182.0,255.0,0.4010989010989011,0.28627450980392155,5
ABI,1,29.0,137.0,166.0,0.2116788321167883,0.1746987951807229,3
ABQ,1,205.0,1244.0,1449.0,0.1647909967845659,0.1414768806073154,2
ABR,1,4.0,56.0,60.0,0.07142857142857142,0.06666666666666667,2
ABY,1,10.0,68.0,78.0,0.14705882352941177,0.1282051282051282,2
ACT,1,27.0,81.0,108.0,0.3333333333333333,0.25,5
ACV,1,16.0,79.0,95.0,0.20253164556962025,0.16842105263157894,3
ACY,1,8.0,50.0,58.0,0.16,0.13793103448275862,2
AEX,1,34.0,213.0,247.0,0.1596244131455399,0.13765182186234817,2
AGS,1,75.0,200.0,275.0,0.375,0.2727272727272727,5
ALB,1,157.0,595.0,752.0,0.2638655462184874,0.20877659574468085,4
ALO,1,11.0,45.0,56.0,0.24444444444444444,0.19642857142857142,4
AMA,1,34.0,251.0,285.0,0.13545816733067728,0.11929824561403508,2
ANC,1,28.0,560.0,588.0,0.05,0.047619047619047616,1
APN,1,3.0,26.0,29.0,0.11538461538461539,0.10344827586206896,2
ASE,1,169.0,674.0,843.0,0.2507418397626113,0.20047449584816132,4
ATL,1,1440.0,8348.0,9788.0,0.17249640632486823,0.14711892112791172,3
ATW,1,45.0,238.0,283.0,0.18907563025210083,0.15901060070671377,3
AUS,1,439.0,2898.0,3337.0,0.15148378191856451,0.1315552891818999,2
AVL,1,115.0,282.0,397.0,0.4078014184397163,0.28967254408060455,5
AVP,1,60.0,180.0,240.0,0.3333333333333333,0.25,5
AZA,1,1.0,12.0,13.0,0.08333333333333333,0.07692307692307693,2
AZO,1,68.0,143.0,211.0,0.4755244755244755,0.3222748815165877,5
BDL,1,275.0,1244.0,1519.0,0.22106109324758844,0.18104015799868334,3
BFF,1,1.0,3.0,4.0,0.3333333333333333,0.25,5
BFL,1,36.0,132.0,168.0,0.2727272727272727,0.21428571428571427,4
BGM,1,14.0,41.0,55.0,0.34146341463414637,0.2545454545454545,5
BGR,1,35.0,159.0,194.0,0.22012578616352202,0.18041237113402062,3
BHM,1,203.0,939.0,1142.0,0.2161874334398296,0.1777583187390543,3
BIL,1,44.0,188.0,232.0,0.23404255319148937,0.1896551724137931,4
BIS,1,52.0,194.0,246.0,0.26804123711340205,0.21138211382113822,4
BJI,1,9.0,50.0,59.0,0.18,0.15254237288135594,3
BLI,1,16.0,121.0,137.0,0.1322314049586777,0.11678832116788321,2
BLV,1,3.0,15.0,18.0,0.2,0.16666666666666666,3
BMI,1,52.0,158.0,210.0,0.3291139240506329,0.24761904761904763,5
BNA,1,702.0,3162.0,3864.0,0.222011385199241,0.18167701863354038,4
BOI,1,180.0,943.0,1123.0,0.19088016967126192,0.16028495102404275,3
BOS,1,1517.0,5017.0,6534.0,0.30237193541957347,0.23217018671564127,5
BPT,1,10.0,49.0,59.0,0.20408163265306123,0.1694915254237288,3
BQK,1,12.0,61.0,73.0,0.19672131147540983,0.1643835616438356,3
BQN,1,31.0,35.0,66.0,0.8857142857142857,0.4696969696969697,5
BRD,1,8.0,41.0,49.0,0.1951219512195122,0.16326530612244897,3
BRO,1,21.0,142.0,163.0,0.14788732394366197,0.12883435582822086,2
BTR,1,81.0,479.0,560.0,0.16910229645093947,0.14464285714285716,2
BTV,1,147.0,529.0,676.0,0.277882797731569,0.21745562130177515,4
BUF,1,359.0,1199.0,1558.0,0.2994161801501251,0.23042362002567393,5
BUR,1,191.0,874.0,1065.0,0.21853546910755148,0.17934272300469484,3
BWI,1,589.0,3323.0,3912.0,0.17724947336743907,0.15056237218813906,3
BZN,1,81.0,349.0,430.0,0.23209169054441262,0.1883720930232558,4
CAE,1,82.0,318.0,400.0,0.2578616352201258,0.205,4
CAK,1,168.0,418.0,586.0,0.4019138755980861,0.28668941979522183,5
CGI,1,4.0,19.0,23.0,0.21052631578947367,0.17391304347826086,3
CHA,1,145.0,444.0,589.0,0.32657657657657657,0.2461799660441426,5
CHO,1,117.0,298.0,415.0,0.3926174496644295,0.2819277108433735,5
CHS,1,230.0,937.0,1167.0,0.24546424759871932,0.19708654670094258,4
CID,1,146.0,523.0,669.0,0.27915869980879543,0.21823617339312407,4
CIU,1,21.0,35.0,56.0,0.6,0.375,5
CKB,1,11.0,46.0,57.0,0.2391304347826087,0.19298245614035087,4
CLE,1,584.0,2384.0,2968.0,0.24496644295302014,0.1967654986522911,4
CLL,1,20.0,141.0,161.0,0.14184397163120568,0.12422360248447205,2
CLT,1,834.0,4922.0,5756.0,0.1694433157253149,0.14489228630993745,2
