ORIGIN_COMBINED,DELAY_YES,DELAY_NO,TOTAL,DELAY_TO_NO_DELAY_RATIO,DELAY_PROB,DelayScore
"('ATL', 1)",4699,24792,29491,0.18953694740238786,0.15933674680410972,3
"('AZA', 1)",39,390,429,0.1,0.09090909090909091,1
"('BOS', 1)",2311,7932,10243,0.29135148764498237,0.22561749487454846,5
"('CLT', 1)",3359,14019,17378,0.23960339539196804,0.1932903671308551,4
"('DCA', 1)",1963,8271,10234,0.2373352678031677,0.19181160836427594,4
"('DEN', 1)",2683,15194,17877,0.1765828616559168,0.15008110980589584,2
"('DFW', 1)",3692,17996,21688,0.20515670148921983,0.1702323865732202,3
"('DTW', 1)",2457,9506,11963,0.25846833578792344,0.20538326506729082,5
"('EWR', 1)",2149,8743,10892,0.24579663730984788,0.19730077120822623,4
"('HOU', 1)",688,3851,4539,0.17865489483251104,0.15157523683630755,3
"('IAD', 1)",669,4266,4935,0.1568213783403657,0.13556231003039515,2
"('IAH', 1)",1797,11489,13286,0.15641047958917226,0.13525515580310102,2
"('JFK', 1)",1782,7351,9133,0.24241599782342538,0.19511661009525896,4
"('LAS', 1)",1896,11160,13056,0.16989247311827957,0.14522058823529413,2
"('LAX', 1)",2409,15024,17433,0.16034345047923323,0.13818619858888315,2
"('LGA', 1)",2591,9898,12489,0.26177005455647606,0.20746256705901192,5
"('MCO', 1)",1919,9424,11343,0.20362903225806453,0.16917922948073702,3
"('MDW', 1)",1359,4948,6307,0.27465642683912694,0.21547486919296022,5
"('MSP', 1)",1910,9314,11224,0.20506764011165987,0.1701710620099786,3
"('ORD', 1)",5950,18899,24849,0.31483147256468597,0.23944625538251035,5
"('PHL', 1)",1675,6603,8278,0.2536725730728457,0.20234356124667793,5
"('PHX', 1)",2561,11630,14191,0.22020636285468614,0.18046649284757946,4
"('SAN', 1)",1141,5813,6954,0.1962841906072596,0.1640782283577797,3
"('SEA', 1)",1171,9363,10534,0.12506675210936666,0.11116385038921588,2
"('SFO', 1)",2430,11357,13787,0.2139649555340319,0.1762529919489374,4
"('ATL', 2)",3204,24518,27722,0.13067950077494087,0.11557607676213838,1
"('AZA', 2)",54,393,447,0.13740458015267176,0.12080536912751678,2
"('BOS', 2)",1960,8018,9978,0.24444998752806185,0.19643215073160955,3
"('CLT', 2)",3343,13299,16642,0.25137228363034814,0.20087729840163443,4
"('DCA', 2)",1853,7939,9792,0.2334047109207709,0.1892361111111111,3
"('DEN', 2)",3797,12157,15954,0.312330344657399,0.23799674062930926,5
"('DFW', 2)",4813,14916,19729,0.3226736390453205,0.24395559835774747,5
"('DTW', 2)",2315,8480,10795,0.27299528301886794,0.21445113478462252,4
"('EWR', 2)",2208,8087,10295,0.2730307901570422,0.21447304516755708,4
"('HOU', 2)",947,3150,4097,0.30063492063492064,0.23114474005369784,5
"('IAD', 2)",613,3748,4361,0.1635538954108858,0.14056409080486126,2
"('IAH', 2)",1865,10891,12756,0.1712423101643559,0.14620570711821887,3
"('JFK', 2)",1560,7386,8946,0.21121039805036557,0.1743796109993293,3
"('LAS', 2)",2068,9618,11686,0.21501351632356,0.17696388841348623,3
"('LAX', 2)",2192,13674,15866,0.16030422700014627,0.13815706542291692,2
"('LGA', 2)",2629,9594,12223,0.27402543256201795,0.2150863126891925,5
"('MCO', 2)",1484,9096,10580,0.16314863676341249,0.14026465028355387,2
"('MDW', 2)",1335,3788,5123,0.352428722280887,0.2605894983408159,5
"('MSP', 2)",2309,8430,10739,0.27390272835112695,0.21501070863208865,4
"('ORD', 2)",5861,16147,22008,0.3629776429058029,0.26631225009087606,5
"('PHL', 2)",1613,6463,8076,0.2495745010057249,0.19972758791480932,4
"('PHX', 2)",2666,10377,13043,0.25691432976775563,0.2044008280303611,4
"('SAN', 2)",1032,5268,6300,0.1958997722095672,0.16380952380952382,3
"('SEA', 2)",1246,8186,9432,0.15221109210847789,0.13210347752332485,2
"('SFO', 2)",1742,10805,12547,0.16122165664044424,0.13883796923567387,2
"('ATL', 3)",4378,28726,33104,0.15240548631901413,0.13224987916868053,2
"('AZA', 3)",62,539,601,0.1150278293135436,0.10316139767054909,1
"('BOS', 3)",2178,8656,10834,0.2516173752310536,0.2010337825364593,5
"('CLT', 3)",3593,15355,18948,0.2339954412243569,0.18962423474773063,4
"('DCA', 3)",1827,8476,10303,0.2155497876356772,0.17732699213821218,4
"('DEN', 3)",2974,15818,18792,0.18801365532937162,0.15825883354618986,3
"('DFW', 3)",3550,19128,22678,0.1855918025930573,0.15653937737013845,3
"('DTW', 3)",1970,11337,13307,0.17376731057599012,0.14804238370782294,3
"('EWR', 3)",2245,8913,11158,0.25187927745989,0.2012009320666786,5
"('HOU', 3)",1019,3762,4781,0.27086656034024453,0.2131353273373771,5
"('IAD', 3)",685,4488,5173,0.15262923351158644,0.13241832592306205,2
"('IAH', 3)",1507,12892,14399,0.11689419795221843,0.10466004583651642,2
"('JFK', 3)",1936,7870,9806,0.24599745870393902,0.19743014480930043,5
"('LAS', 3)",2314,11135,13449,0.20781320161652447,0.1720574020373262,3
"('LAX', 3)",3583,14562,18145,0.24605136657052604,0.1974648663543676,5
"('LGA', 3)",2398,10451,12849,0.22945172710745385,0.1866293096739046,4
"('MCO', 3)",2271,10249,12520,0.22158259342374867,0.18138977635782746,4
"('MDW', 3)",1334,5809,7143,0.22964365639524875,0.1867562648747025,4
"('MSP', 3)",1914,11271,13185,0.16981634282672345,0.14516496018202502,2
