,ORIGIN,TAXI_OUT,CARRIER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY
0,ATL,17.05553216386354,18.62034082950743,13.052774103182632,21.54882888491168
1,AZA,12.373892953407779,21.12323943661972,12.19718309859155,20.568075117370892
2,BOS,20.251534852640226,18.190442597306998,18.46458914823789,25.658405668190042
3,CLT,20.231333949883297,16.503238433445652,11.584068118076713,24.613143399043604
4,DCA,19.41180532667891,15.66647855530474,16.008787487907128,32.29337310544985
5,DEN,17.21259082385405,17.332931242460795,14.661883901551224,25.021310816244473
6,DFW,18.574810561147615,21.233090056040663,11.204955688778835,23.66090512185586
7,DTW,18.98535636286327,21.19252440282517,19.23010078565193,20.35679707959686
8,EWR,23.676538790417254,16.183778027228506,15.288317071064675,35.289094206027116
9,HOU,11.431779110970774,18.143434823977163,8.120995876942594,21.071122740247382
10,IAD,19.873749163630958,20.372307447738653,18.869008822828075,27.668388840314762
11,IAH,18.79765708821197,18.93594984065401,16.288935845919358,21.3316821393931
12,JFK,27.5956349556989,21.112534558623107,19.983879132432538,22.800903391612476
13,LAS,15.036034170008975,17.43599947378807,12.97934618167467,25.242254818128
14,LAX,19.071970059144117,18.331066890685708,14.734721201302111,22.712695579124226
15,LGA,26.586321327897064,14.919260452887796,17.209425267859668,33.93593984112176
16,MCO,15.535205499488079,18.198284955932895,17.773028890325655,27.65358832136659
17,MDW,12.383733913145678,21.18583864810763,9.112378380894745,18.583678599692753
18,MSP,20.090009916346716,16.832876068041074,20.584933761856234,17.201183663870815
19,ORD,22.579141361644115,16.199948802964553,17.04281047345068,25.761641230679214
20,PHL,22.55276603630395,17.086863205637,16.244391350125536,27.753745849194136
21,PHX,15.374217917226677,17.535832937826292,10.848663186204714,23.942445815535518
22,SAN,16.75248956884562,13.293558340154902,15.961967130533342,25.325609218563063
23,SEA,20.1993193728507,14.592909388864463,16.22003277509093,18.650185858747353
24,SFO,22.57409402236214,16.01544902556067,14.508226422485555,28.750244834002547
